model_name,epoch,elapsed,training_loss,training_accuracy,val_loss,val_accuracy
Final-FB-XLM-R_English_1600_1e-05,0,3211.9632,1.4219,0.4195,1.1024,0.5766
Final-FB-XLM-R_English_1600_1e-05,1,3215.6506,1.0609,0.5971,0.9543,0.6328
Final-FB-XLM-R_English_1600_1e-05,2,3097.1365,0.8614,0.6789,0.8996,0.6724
Final-FB-XLM-R_English_1600_1e-05,3,3014.0764,0.7423,0.7271,0.9058,0.6578
Final-FB-XLM-R_English_1600_1e-05,4,3113.0932,0.64,0.7656,0.9818,0.6807
Final-FB-XLM-R_English_1600_1e-05,5,3004.9055,0.5402,0.8074,1.0525,0.6656
Final-FB-XLM-R_English_1600_1e-05,6,3064.0691,0.4408,0.844,1.0977,0.6771
Final-FB-XLM-R_English_1600_1e-05,7,2922.094,0.3416,0.8805,1.2457,0.65
Final-FB-XLM-R_English_1600_1e-05,8,2987.19,0.2713,0.9049,1.434,0.651
Final-FB-XLM-R_English_1600_1e-05,9,3005.7176,0.2112,0.9292,1.481,0.6651
Final-FB-XLM-R_English_1600_1e-05,10,3116.5814,0.1758,0.9427,1.5457,0.6604
Final-FB-XLM-R_English_1600_1e-05,11,3228.6753,0.1371,0.9526,1.6572,0.6615
Final-FB-XLM-R_English_1600_1e-05,12,3088.8952,0.1277,0.9572,1.7416,0.6531
Final-FB-XLM-R_English_1600_1e-05,13,3020.1289,0.1042,0.9651,1.7664,0.6552
Final-FB-XLM-R_English_1600_1e-05,14,3142.5295,0.1004,0.9655,1.8417,0.6521
Final-FB-XLM-R_English_2800_1e-05,0,7033.4746,1.2843,0.4794,0.9236,0.6545
Final-FB-XLM-R_English_2800_1e-05,1,6901.9947,0.881,0.6677,0.8305,0.6878
Final-FB-XLM-R_English_2800_1e-05,2,7951.0693,0.7581,0.7112,0.8067,0.7098
Final-FB-XLM-R_English_2800_1e-05,3,8422.0059,0.6746,0.7474,0.8334,0.708
Final-FB-XLM-R_English_2800_1e-05,4,7969.6046,0.58,0.7848,0.8683,0.6967
Final-FB-XLM-R_English_2800_1e-05,5,6863.6484,0.486,0.8217,0.957,0.6952
Final-FB-XLM-R_English_2800_1e-05,6,6390.481,0.3956,0.8597,1.0269,0.6872
Final-FB-XLM-R_English_2800_1e-05,7,6290.2323,0.3079,0.8926,1.1885,0.6875
Final-FB-XLM-R_English_2800_1e-05,8,7023.6473,0.2581,0.909,1.3532,0.6705
Final-FB-XLM-R_English_2800_1e-05,9,7542.7382,0.2008,0.9315,1.2868,0.6798
Final-FB-XLM-R_English_2800_1e-05,10,5895.1796,0.1635,0.9442,1.4522,0.6836
Final-FB-XLM-R_English_2800_1e-05,11,5932.5943,0.1411,0.9528,1.6194,0.6756
Final-FB-XLM-R_English_2800_1e-05,12,5983.3781,0.1239,0.9576,1.5286,0.6667
Final-FB-XLM-R_English_2800_1e-05,13,6047.4523,0.1141,0.961,1.6272,0.678
Final-FB-XLM-R_English_2800_1e-05,14,6361.228,0.1045,0.965,1.7432,0.6789
Final-FB-XLM-R_English_400_1e-05,0,108.8113,1.7456,0.2188,1.5633,0.3
Final-FB-XLM-R_English_400_1e-05,1,105.9183,1.5196,0.351,1.3925,0.4458
Final-FB-XLM-R_English_400_1e-05,2,106.2366,1.3327,0.4599,1.2441,0.5146
Final-FB-XLM-R_English_400_1e-05,3,106.4886,1.0606,0.6083,1.0979,0.6042
Final-FB-XLM-R_English_400_1e-05,4,106.5805,0.8737,0.687,1.1388,0.6104
Final-FB-XLM-R_English_400_1e-05,5,106.6324,0.6931,0.7505,1.1823,0.6167
Final-FB-XLM-R_English_400_1e-05,6,106.4144,0.5619,0.8135,1.254,0.6146
Final-FB-XLM-R_English_400_1e-05,7,106.2783,0.4603,0.8432,1.386,0.6083
Final-FB-XLM-R_English_400_1e-05,8,106.4488,0.3157,0.9031,1.4827,0.6188
Final-FB-XLM-R_English_400_1e-05,9,106.4887,0.2485,0.9203,1.596,0.6125
Final-FB-XLM-R_English_400_1e-05,10,106.5586,0.2106,0.938,1.6232,0.6167
Final-FB-XLM-R_English_400_1e-05,11,106.3686,0.162,0.949,1.672,0.6333
Final-FB-XLM-R_English_400_1e-05,12,106.344,0.1129,0.9672,1.8988,0.6042
Final-FB-XLM-R_English_400_1e-05,13,106.4395,0.1154,0.9677,1.8529,0.6292
Final-FB-XLM-R_English_400_1e-05,14,106.3961,0.0756,0.9766,2.0645,0.6
Final-FB-XLM-R_Multilingual_1600_1e-05,0,2824.1879,1.5866,0.3251,1.2672,0.524
Final-FB-XLM-R_Multilingual_1600_1e-05,1,2698.8533,1.2341,0.5299,1.1772,0.5521
Final-FB-XLM-R_Multilingual_1600_1e-05,2,3217.9503,1.0795,0.5845,1.2593,0.526
Final-FB-XLM-R_Multilingual_1600_1e-05,3,3474.5124,0.9994,0.6238,1.1207,0.5974
Final-FB-XLM-R_Multilingual_1600_1e-05,4,3458.2423,0.8583,0.6862,1.1373,0.6016
Final-FB-XLM-R_Multilingual_1600_1e-05,5,3488.9978,0.7408,0.7307,1.237,0.5875
Final-FB-XLM-R_Multilingual_1600_1e-05,6,3688.7733,0.6195,0.7798,1.3745,0.5875
Final-FB-XLM-R_Multilingual_1600_1e-05,7,3356.0167,0.5071,0.8225,1.4365,0.5865
Final-FB-XLM-R_Multilingual_1600_1e-05,8,3487.4093,0.4116,0.8599,1.6196,0.5807
Final-FB-XLM-R_Multilingual_1600_1e-05,9,2877.0706,0.3173,0.8906,1.6809,0.5797
Final-FB-XLM-R_Multilingual_1600_1e-05,10,2759.9534,0.2493,0.9173,1.8453,0.5875
Final-FB-XLM-R_Multilingual_1600_1e-05,11,2771.2252,0.2047,0.9299,2.014,0.5802
Final-FB-XLM-R_Multilingual_1600_1e-05,12,3015.3672,0.1643,0.9435,2.077,0.5771
Final-FB-XLM-R_Multilingual_1600_1e-05,13,2922.9712,0.1388,0.9546,2.2884,0.5615
Final-FB-XLM-R_Multilingual_1600_1e-05,14,3015.4025,0.1182,0.9591,2.3082,0.575
Final-FB-XLM-R_Multilingual_2800_1e-05,0,6880.6063,1.4173,0.4296,1.1228,0.5765
Final-FB-XLM-R_Multilingual_2800_1e-05,1,8248.3091,1.1027,0.5773,1.0461,0.6113
Final-FB-XLM-R_Multilingual_2800_1e-05,2,8329.5109,0.9734,0.6335,1.1087,0.5967
Final-FB-XLM-R_Multilingual_2800_1e-05,3,9790.1605,0.8669,0.6794,1.0582,0.617
Final-FB-XLM-R_Multilingual_2800_1e-05,4,8303.7734,0.7552,0.7258,1.1364,0.6065
Final-FB-XLM-R_Multilingual_2800_1e-05,5,7448.8694,0.6337,0.774,1.2276,0.6048
Final-FB-XLM-R_Multilingual_2800_1e-05,6,6962.9922,0.5198,0.8203,1.2997,0.6065
Final-FB-XLM-R_Multilingual_2800_1e-05,7,7188.6328,0.4233,0.8569,1.4633,0.5955
Final-FB-XLM-R_Multilingual_2800_1e-05,8,6736.3977,0.3334,0.8864,1.63,0.5938
Final-FB-XLM-R_Multilingual_2800_1e-05,9,6932.8125,0.277,0.9054,1.7616,0.5842
Final-FB-XLM-R_Multilingual_2800_1e-05,10,6831.313,0.214,0.9287,1.9248,0.5929
Final-FB-XLM-R_Multilingual_2800_1e-05,11,7520.5703,0.1773,0.9397,1.8941,0.5824
Final-FB-XLM-R_Multilingual_2800_1e-05,12,7647.2423,0.1627,0.9439,2.0151,0.592
Final-FB-XLM-R_Multilingual_2800_1e-05,13,6861.536,0.1294,0.9554,2.2353,0.5786
